County,State,Pollutant,Trend Statistic,total_trend_sites,avg_last5
Roanoke County,VA,NO2,98th Percentile,1.0,32.0
Roanoke County,VA,NO2,Annual Mean,1.0,5.0
Roanoke County,VA,O3,4th Max,1.0,0.0588
Roanoke County,VA,SO2,99th Percentile,1.0,3.0
Roanoke city,VA,NO2,98th Percentile,1.0,32.0
Roanoke city,VA,NO2,Annual Mean,1.0,5.0
Roanoke city,VA,O3,4th Max,1.0,0.0588
Roanoke city,VA,SO2,99th Percentile,1.0,3.0
Robertson County,TN,NO2,Annual Mean,1.0,6.6
Robertson County,TN,O3,4th Max,5.0,0.0644
Rock County,WI,O3,4th Max,1.0,0.06920000000000001
Rock Island County,IL,O3,4th Max,2.0,0.0658
Rock Island County,IL,PM10,2nd Max,1.0,41.0
Rock Island County,IL,PM2.5,98th Percentile,1.0,21.0
Rock Island County,IL,PM2.5,Weighted Annual Mean,1.0,8.24
Rock Island County,IL,SO2,99th Percentile,1.0,4.0
Rockdale County,GA,O3,4th Max,9.0,0.066
Rockdale County,GA,PM2.5,98th Percentile,4.0,20.2
Rockdale County,GA,PM2.5,Weighted Annual Mean,4.0,8.66
Rockdale County,GA,SO2,99th Percentile,1.0,4.2
Rockingham County,NC,O3,4th Max,2.0,0.0628
Rockingham County,NC,PM2.5,98th Percentile,1.0,17.8
Rockingham County,NC,PM2.5,Weighted Annual Mean,1.0,7.8
Rockingham County,NH,CO,2nd Max,1.0,1.0
Rockingham County,NH,NO2,98th Percentile,2.0,44.8
Rockingham County,NH,NO2,Annual Mean,2.0,10.6
Rockingham County,NH,O3,4th Max,4.0,0.0618
Rockingham County,NH,PM2.5,98th Percentile,5.0,15.2
Rockingham County,NH,PM2.5,Weighted Annual Mean,5.0,5.960000000000001
Rockingham County,NH,SO2,99th Percentile,2.0,2.0
Rockland County,NY,CO,2nd Max,4.0,1.5399999999999998
Rockland County,NY,NO2,98th Percentile,3.0,47.0
Rockland County,NY,NO2,Annual Mean,4.0,12.8
Rockland County,NY,O3,4th Max,16.0,0.0668
Rockland County,NY,PM10,2nd Max,1.0,33.4
Rockland County,NY,PM2.5,98th Percentile,10.0,20.6
Rockland County,NY,PM2.5,Weighted Annual Mean,10.0,7.44
Rockland County,NY,SO2,99th Percentile,7.0,4.8
Rockwall County,TX,NO2,98th Percentile,5.0,37.4
Rockwall County,TX,NO2,Annual Mean,7.0,6.2
Rockwall County,TX,O3,4th Max,15.0,0.0724
Rockwall County,TX,PM2.5,98th Percentile,4.0,21.2
Rockwall County,TX,PM2.5,Weighted Annual Mean,4.0,9.14
Rockwall County,TX,SO2,99th Percentile,2.0,8.8
Rogers County,OK,NO2,Annual Mean,1.0,6.6
Rogers County,OK,O3,4th Max,3.0,0.0668
Rogers County,OK,PM2.5,98th Percentile,1.0,21.8
Rogers County,OK,PM2.5,Weighted Annual Mean,1.0,8.680000000000001
Rogers County,OK,SO2,99th Percentile,1.0,6.4
Routt County,CO,PM10,2nd Max,1.0,63.2
Rowan County,NC,NO2,98th Percentile,1.0,35.2
Rowan County,NC,NO2,Annual Mean,1.0,6.6
Rowan County,NC,O3,4th Max,6.0,0.0644
Rowan County,NC,PM2.5,98th Percentile,1.0,18.8
Rowan County,NC,PM2.5,Weighted Annual Mean,1.0,8.080000000000002
Rusk County,TX,NO2,98th Percentile,1.0,17.6
Rusk County,TX,NO2,Annual Mean,1.0,2.8
Rusk County,TX,O3,4th Max,1.0,0.0634
Rusk County,TX,SO2,99th Percentile,1.0,33.0
Russell County,AL,O3,4th Max,1.0,0.0596
Rutherford County,TN,NO2,Annual Mean,1.0,6.6
Rutherford County,TN,O3,4th Max,5.0,0.0644
Rutland County,VT,CO,2nd Max,1.0,0.8200000000000001
Rutland County,VT,NO2,98th Percentile,1.0,32.0
Rutland County,VT,NO2,Annual Mean,1.0,6.0
Rutland County,VT,PM2.5,98th Percentile,1.0,18.8
Rutland County,VT,PM2.5,Weighted Annual Mean,1.0,6.640000000000001
Rutland County,VT,SO2,99th Percentile,1.0,2.0
Río Grande Municipio,PR,PM10,2nd Max,1.0,100.6
Río Grande Municipio,PR,PM2.5,98th Percentile,1.0,20.2
Río Grande Municipio,PR,PM2.5,Weighted Annual Mean,1.0,7.58
Sacramento County,CA,CO,2nd Max,1.0,1.3
Sacramento County,CA,NO2,98th Percentile,2.0,29.0
Sacramento County,CA,NO2,Annual Mean,5.0,4.0
Sacramento County,CA,O3,4th Max,12.0,0.07
Sacramento County,CA,PM10,2nd Max,4.0,63.52
Sacramento County,CA,PM2.5,98th Percentile,3.0,30.0
Sacramento County,CA,PM2.5,Weighted Annual Mean,3.0,8.879999999999999
Sagadahoc County,ME,O3,4th Max,2.0,0.0628
Salem County,NJ,CO,2nd Max,1.0,0.96
Salem County,NJ,NO2,98th Percentile,1.0,41.0
Salem County,NJ,NO2,Annual Mean,2.0,9.0
Salem County,NJ,O3,4th Max,12.0,0.0664
Salem County,NJ,PM2.5,98th Percentile,9.0,20.4
Salem County,NJ,PM2.5,Weighted Annual Mean,9.0,7.640000000000001
Salem County,NJ,SO2,99th Percentile,2.0,5.8
Salem city,VA,NO2,98th Percentile,1.0,32.0
Salem city,VA,NO2,Annual Mean,1.0,5.0
Salem city,VA,O3,4th Max,1.0,0.0588
Salem city,VA,SO2,99th Percentile,1.0,3.0
Saline County,AR,NO2,98th Percentile,1.0,33.0
Saline County,AR,NO2,Annual Mean,1.0,6.4
Saline County,AR,O3,4th Max,2.0,0.0634
Saline County,AR,PM10,2nd Max,1.0,35.2
Saline County,AR,PM2.5,98th Percentile,1.0,20.2
Saline County,AR,PM2.5,Weighted Annual Mean,1.0,9.16
Salt Lake County,UT,CO,2nd Max,1.0,1.04
Salt Lake County,UT,NO2,Annual Mean,1.0,13.4
Salt Lake County,UT,O3,4th Max,1.0,0.0746
Salt Lake County,UT,PM10,2nd Max,1.0,83.2
Salt Lake County,UT,PM2.5,98th Percentile,1.0,28.6
Salt Lake County,UT,PM2.5,Weighted Annual Mean,1.0,7.160000000000001
Saluda County,SC,O3,4th Max,3.0,0.059
Saluda County,SC,PM2.5,98th Percentile,2.0,17.4
Saluda County,SC,PM2.5,Weighted Annual Mean,2.0,7.540000000000001
San Benito County,CA,O3,4th Max,6.0,0.0634
San Bernardino County,CA,CO,2nd Max,7.0,0.86
San Bernardino County,CA,NO2,98th Percentile,6.0,45.4
San Bernardino County,CA,NO2,Annual Mean,10.0,11.2
San Bernardino County,CA,O3,4th Max,16.0,0.092
San Bernardino County,CA,PM10,2nd Max,13.0,78.94
San Bernardino County,CA,PM2.5,98th Percentile,5.0,25.6
San Bernardino County,CA,PM2.5,Weighted Annual Mean,5.0,10.06
San Bernardino County,CA,SO2,99th Percentile,1.0,6.0
San Diego County,CA,NO2,98th Percentile,2.0,30.6
San Diego County,CA,NO2,Annual Mean,3.0,6.0
San Diego County,CA,O3,4th Max,5.0,0.0694
San Diego County,CA,PM10,2nd Max,1.0,42.2
San Diego County,CA,PM2.5,98th Percentile,1.0,22.2
San Diego County,CA,PM2.5,Weighted Annual Mean,1.0,9.099999999999998
San Francisco County,CA,CO,2nd Max,5.0,1.04
San Francisco County,CA,NO2,98th Percentile,6.0,33.2
San Francisco County,CA,NO2,Annual Mean,6.0,6.8
San Francisco County,CA,O3,4th Max,8.0,0.0588
San Francisco County,CA,PM10,2nd Max,3.0,32.42
San Francisco County,CA,PM2.5,98th Percentile,4.0,26.2
San Francisco County,CA,PM2.5,Weighted Annual Mean,4.0,7.74
San Francisco County,CA,SO2,99th Percentile,4.0,8.2
San Jacinto County,TX,CO,2nd Max,1.0,1.16
San Jacinto County,TX,NO2,98th Percentile,8.0,37.0
San Jacinto County,TX,NO2,Annual Mean,10.0,7.2
San Jacinto County,TX,O3,4th Max,15.0,0.07260000000000001
San Jacinto County,TX,PM10,2nd Max,4.0,64.92
San Jacinto County,TX,PM2.5,98th Percentile,3.0,22.8
San Jacinto County,TX,PM2.5,Weighted Annual Mean,3.0,10.26
San Jacinto County,TX,SO2,99th Percentile,2.0,10.4
San Joaquin County,CA,NO2,Annual Mean,1.0,10.6
San Joaquin County,CA,O3,4th Max,1.0,0.0648
San Joaquin County,CA,PM2.5,98th Percentile,1.0,46.8
San Joaquin County,CA,PM2.5,Weighted Annual Mean,1.0,11.92
San Juan County,NM,NO2,98th Percentile,2.0,27.4
San Juan County,NM,NO2,Annual Mean,2.0,6.2
San Juan County,NM,O3,4th Max,2.0,0.0656
San Juan Municipio,PR,PM10,2nd Max,1.0,100.6
San Juan Municipio,PR,PM2.5,98th Percentile,1.0,20.2
San Juan Municipio,PR,PM2.5,Weighted Annual Mean,1.0,7.58
San Lorenzo Municipio,PR,PM10,2nd Max,1.0,100.6
San Lorenzo Municipio,PR,PM2.5,98th Percentile,1.0,20.2
San Lorenzo Municipio,PR,PM2.5,Weighted Annual Mean,1.0,7.58
San Luis Obispo County,CA,NO2,98th Percentile,1.0,16.6
San Luis Obispo County,CA,NO2,Annual Mean,1.0,1.8
San Luis Obispo County,CA,O3,4th Max,4.0,0.0566
San Luis Obispo County,CA,SO2,99th Percentile,1.0,2.0
San Mateo County,CA,CO,2nd Max,5.0,1.04
San Mateo County,CA,NO2,98th Percentile,6.0,33.2
San Mateo County,CA,NO2,Annual Mean,6.0,6.8
San Mateo County,CA,O3,4th Max,8.0,0.0588
San Mateo County,CA,PM10,2nd Max,3.0,32.42
San Mateo County,CA,PM2.5,98th Percentile,4.0,26.2
San Mateo County,CA,PM2.5,Weighted Annual Mean,4.0,7.74
San Mateo County,CA,SO2,99th Percentile,4.0,8.2
San Patricio County,TX,O3,4th Max,2.0,0.0626
San Patricio County,TX,PM2.5,98th Percentile,1.0,22.8
San Patricio County,TX,PM2.5,Weighted Annual Mean,1.0,8.379999999999999
San Patricio County,TX,SO2,99th Percentile,2.0,3.6
Sandoval County,NM,CO,2nd Max,1.0,0.8800000000000001
Sandoval County,NM,NO2,98th Percentile,1.0,43.2
Sandoval County,NM,NO2,Annual Mean,1.0,8.4
Sandoval County,NM,O3,4th Max,3.0,0.0694
Sandoval County,NM,PM10,2nd Max,2.0,169.4
Sandoval County,NM,PM2.5,98th Percentile,1.0,13.8
Sandoval County,NM,PM2.5,Weighted Annual Mean,1.0,5.220000000000001
Santa Barbara County,CA,CO,2nd Max,2.0,0.6199999999999999
Santa Barbara County,CA,NO2,98th Percentile,1.0,21.0
Santa Barbara County,CA,NO2,Annual Mean,5.0,1.0
Santa Barbara County,CA,O3,4th Max,7.0,0.054000000000000006
Santa Barbara County,CA,SO2,99th Percentile,1.0,2.4
Santa Clara County,CA,O3,4th Max,6.0,0.0634
Santa Cruz County,AZ,PM2.5,98th Percentile,1.0,28.2
Santa Cruz County,AZ,PM2.5,Weighted Annual Mean,1.0,9.42
Santa Cruz County,CA,O3,4th Max,1.0,0.05
Santa Cruz County,CA,PM2.5,98th Percentile,1.0,20.2
Santa Cruz County,CA,PM2.5,Weighted Annual Mean,1.0,6.040000000000001
Santa Rosa County,FL,O3,4th Max,2.0,0.061399999999999996
Santa Rosa County,FL,PM2.5,98th Percentile,1.0,19.4
Santa Rosa County,FL,PM2.5,Weighted Annual Mean,1.0,8.52
Santa Rosa County,FL,SO2,99th Percentile,1.0,7.0
Sarasota County,FL,O3,4th Max,5.0,0.060399999999999995
Sarasota County,FL,PM10,2nd Max,1.0,53.2
Sarasota County,FL,PM2.5,98th Percentile,1.0,16.0
Sarasota County,FL,PM2.5,Weighted Annual Mean,1.0,6.76
Saratoga County,NY,O3,4th Max,2.0,0.059
Saratoga County,NY,PM2.5,98th Percentile,1.0,20.4
Saratoga County,NY,PM2.5,Weighted Annual Mean,1.0,7.1
Saratoga County,NY,SO2,99th Percentile,1.0,2.2
Sarpy County,NE,PM10,2nd Max,3.0,59.46
Sarpy County,NE,PM2.5,98th Percentile,5.0,20.6
Sarpy County,NE,PM2.5,Weighted Annual Mean,5.0,7.4799999999999995
Sarpy County,NE,SO2,99th Percentile,1.0,41.0
Sauk County,WI,O3,4th Max,1.0,0.0654
Saunders County,NE,PM10,2nd Max,3.0,59.46
Saunders County,NE,PM2.5,98th Percentile,5.0,20.6
Saunders County,NE,PM2.5,Weighted Annual Mean,5.0,7.4799999999999995
Saunders County,NE,SO2,99th Percentile,1.0,41.0
Schenectady County,NY,O3,4th Max,2.0,0.059
Schenectady County,NY,PM2.5,98th Percentile,1.0,20.4
Schenectady County,NY,PM2.5,Weighted Annual Mean,1.0,7.1
Schenectady County,NY,SO2,99th Percentile,1.0,2.2
Schley County,GA,O3,4th Max,1.0,0.0596
Schoharie County,NY,O3,4th Max,2.0,0.059
Schoharie County,NY,PM2.5,98th Percentile,1.0,20.4
Schoharie County,NY,PM2.5,Weighted Annual Mean,1.0,7.1
Schoharie County,NY,SO2,99th Percentile,1.0,2.2
Scioto County,OH,PM10,2nd Max,2.0,24.2
Scioto County,OH,PM2.5,98th Percentile,1.0,18.2
Scioto County,OH,PM2.5,Weighted Annual Mean,1.0,7.2
Scott County,IA,O3,4th Max,2.0,0.0658
Scott County,IA,PM10,2nd Max,1.0,41.0
Scott County,IA,PM2.5,98th Percentile,1.0,21.0
Scott County,IA,PM2.5,Weighted Annual Mean,1.0,8.24
Scott County,IA,SO2,99th Percentile,1.0,4.0
Scott County,KY,NO2,98th Percentile,1.0,40.4
Scott County,KY,NO2,Annual Mean,1.0,5.8
Scott County,KY,O3,4th Max,2.0,0.0636
Scott County,KY,PM2.5,98th Percentile,1.0,19.6
Scott County,KY,PM2.5,Weighted Annual Mean,1.0,7.62
Scott County,KY,SO2,99th Percentile,1.0,3.4
Scott County,MN,CO,2nd Max,3.0,1.0399999999999998
Scott County,MN,NO2,98th Percentile,1.0,23.6
Scott County,MN,NO2,Annual Mean,2.0,5.8
Scott County,MN,O3,4th Max,3.0,0.06239999999999999
Scott County,MN,PM10,2nd Max,1.0,76.8
Scott County,MN,PM2.5,98th Percentile,6.0,24.8
Scott County,MN,PM2.5,Weighted Annual Mean,6.0,7.88
Scott County,MN,SO2,99th Percentile,4.0,6.8
Scott County,VA,O3,4th Max,2.0,0.0618
Scott County,VA,PM2.5,98th Percentile,1.0,15.4
Scott County,VA,PM2.5,Weighted Annual Mean,1.0,6.859999999999999
Sedgwick County,KS,NO2,Annual Mean,2.0,5.0
Sedgwick County,KS,O3,4th Max,2.0,0.064
Sedgwick County,KS,PM10,2nd Max,1.0,82.8
Sedgwick County,KS,PM2.5,98th Percentile,2.0,21.4
Sedgwick County,KS,PM2.5,Weighted Annual Mean,2.0,8.4
Sedgwick County,KS,SO2,99th Percentile,1.0,3.0
Seminole County,FL,CO,2nd Max,1.0,0.9
Seminole County,FL,NO2,Annual Mean,1.0,3.4
Seminole County,FL,O3,4th Max,5.0,0.0624
Seminole County,FL,PM10,2nd Max,2.0,47.5
Seminole County,FL,PM2.5,98th Percentile,1.0,14.8
Seminole County,FL,PM2.5,Weighted Annual Mean,1.0,6.359999999999999
Seminole County,FL,SO2,99th Percentile,1.0,3.8
Sequatchie County,TN,O3,4th Max,2.0,0.0638
Sequatchie County,TN,PM2.5,98th Percentile,2.0,21.4
Sequatchie County,TN,PM2.5,Weighted Annual Mean,2.0,8.24
Sevier County,TN,O3,4th Max,2.0,0.0624
Seward County,NE,O3,4th Max,1.0,0.058399999999999994
Seward County,NE,PM2.5,98th Percentile,1.0,19.8
Seward County,NE,PM2.5,Weighted Annual Mean,1.0,6.840000000000001
Shasta County,CA,O3,4th Max,3.0,0.0648
Shasta County,CA,PM10,2nd Max,1.0,56.2
Shasta County,CA,PM2.5,98th Percentile,1.0,39.4
Shasta County,CA,PM2.5,Weighted Annual Mean,1.0,8.379999999999999
Sheboygan County,WI,O3,4th Max,1.0,0.07520000000000002
Shelby County,AL,CO,2nd Max,1.0,1.0
Shelby County,AL,O3,4th Max,7.0,0.0646
Shelby County,AL,PM10,2nd Max,4.0,58.42
Shelby County,AL,PM2.5,98th Percentile,3.0,18.4
Shelby County,AL,PM2.5,Weighted Annual Mean,3.0,8.94
Shelby County,AL,SO2,99th Percentile,1.0,6.8
Shelby County,IN,O3,4th Max,5.0,0.0666
Shelby County,IN,PM10,2nd Max,1.0,71.6
Shelby County,IN,PM2.5,98th Percentile,3.0,27.2
Shelby County,IN,PM2.5,Weighted Annual Mean,3.0,10.66
Shelby County,IN,SO2,99th Percentile,1.0,6.2
Shelby County,KY,O3,4th Max,5.0,0.0654
Shelby County,KY,SO2,99th Percentile,3.0,8.0
Shelby County,TN,O3,4th Max,4.0,0.0674
Sherburne County,MN,CO,2nd Max,3.0,1.0399999999999998
Sherburne County,MN,NO2,98th Percentile,1.0,23.6
Sherburne County,MN,NO2,Annual Mean,2.0,5.8
Sherburne County,MN,O3,4th Max,3.0,0.06239999999999999
Sherburne County,MN,PM10,2nd Max,1.0,76.8
Sherburne County,MN,PM2.5,98th Percentile,6.0,24.8
Sherburne County,MN,PM2.5,Weighted Annual Mean,6.0,7.88
Sherburne County,MN,SO2,99th Percentile,4.0,6.8
Sheridan County,WY,PM2.5,98th Percentile,1.0,25.2
Sheridan County,WY,PM2.5,Weighted Annual Mean,1.0,6.68
Silver Bow County,MT,PM10,2nd Max,1.0,92.6
Silver Bow County,MT,PM2.5,98th Percentile,1.0,35.2
Silver Bow County,MT,PM2.5,Weighted Annual Mean,1.0,7.220000000000001
Skamania County,WA,CO,2nd Max,1.0,3.9199999999999995
Skamania County,WA,O3,4th Max,3.0,0.05900000000000002
Skamania County,WA,PM2.5,98th Percentile,1.0,22.2
Skamania County,WA,PM2.5,Weighted Annual Mean,1.0,7.42
Smith County,TN,NO2,Annual Mean,1.0,6.6
Smith County,TN,O3,4th Max,5.0,0.0644
Smith County,TX,NO2,98th Percentile,1.0,13.2
Smith County,TX,NO2,Annual Mean,1.0,1.8
Smith County,TX,O3,4th Max,1.0,0.0668
Snohomish County,WA,O3,4th Max,5.0,0.058199999999999995
Snohomish County,WA,PM2.5,98th Percentile,4.0,28.6
Snohomish County,WA,PM2.5,Weighted Annual Mean,4.0,7.659999999999999
Solano County,CA,CO,2nd Max,1.0,1.58
Solano County,CA,NO2,98th Percentile,1.0,40.2
Solano County,CA,NO2,Annual Mean,1.0,6.6
Solano County,CA,O3,4th Max,2.0,0.0588
Solano County,CA,PM10,2nd Max,1.0,37.0
Solano County,CA,PM2.5,98th Percentile,1.0,26.8
Solano County,CA,PM2.5,Weighted Annual Mean,1.0,8.52
Solano County,CA,SO2,99th Percentile,1.0,4.0
Somerset County,MD,O3,4th Max,2.0,0.0626
Somerset County,MD,PM2.5,98th Percentile,1.0,19.6
Somerset County,MD,PM2.5,Weighted Annual Mean,1.0,7.140000000000001
Somerset County,NJ,CO,2nd Max,4.0,1.5399999999999998
Somerset County,NJ,NO2,98th Percentile,3.0,47.0
Somerset County,NJ,NO2,Annual Mean,4.0,12.8
Somerset County,NJ,O3,4th Max,16.0,0.0668
Somerset County,NJ,PM10,2nd Max,1.0,33.4
Somerset County,NJ,PM2.5,98th Percentile,10.0,20.6
Somerset County,NJ,PM2.5,Weighted Annual Mean,10.0,7.44
Somerset County,NJ,SO2,99th Percentile,7.0,4.8
Somerset County,PA,O3,4th Max,1.0,0.0608
Sonoma County,CA,PM10,2nd Max,3.0,56.660000000000004
South Central Connecticut Planning Region,CT,O3,4th Max,2.0,0.076
South Central Connecticut Planning Region,CT,PM2.5,98th Percentile,1.0,19.6
South Central Connecticut Planning Region,CT,PM2.5,Weighted Annual Mean,1.0,7.32
Spalding County,GA,O3,4th Max,9.0,0.066
Spalding County,GA,PM2.5,98th Percentile,4.0,20.2
Spalding County,GA,PM2.5,Weighted Annual Mean,4.0,8.66
Spalding County,GA,SO2,99th Percentile,1.0,4.2
Spartanburg County,SC,O3,4th Max,1.0,0.0646
Spencer County,KY,O3,4th Max,5.0,0.0654
Spencer County,KY,SO2,99th Percentile,3.0,8.0
Spokane County,WA,O3,4th Max,2.0,0.06
Spotsylvania County,VA,CO,2nd Max,1.0,1.16
Spotsylvania County,VA,NO2,98th Percentile,4.0,35.0
Spotsylvania County,VA,NO2,Annual Mean,5.0,8.0
Spotsylvania County,VA,O3,4th Max,13.0,0.0638
Spotsylvania County,VA,PM2.5,98th Percentile,5.0,19.2
Spotsylvania County,VA,PM2.5,Weighted Annual Mean,5.0,7.24
St. Bernard Parish,LA,NO2,98th Percentile,1.0,37.2
St. Bernard Parish,LA,NO2,Annual Mean,1.0,5.2
St. Bernard Parish,LA,O3,4th Max,3.0,0.06239999999999999
St. Bernard Parish,LA,PM2.5,98th Percentile,2.0,16.8
St. Bernard Parish,LA,PM2.5,Weighted Annual Mean,2.0,7.6800000000000015
St. Charles County,MO,NO2,98th Percentile,1.0,38.8
St. Charles County,MO,NO2,Annual Mean,1.0,8.8
St. Charles County,MO,O3,4th Max,9.0,0.069
St. Charles County,MO,PM2.5,98th Percentile,2.0,21.0
St. Charles County,MO,PM2.5,Weighted Annual Mean,2.0,8.4
St. Charles County,MO,Pb,Max 3-Month Average,2.0,0.06
St. Charles County,MO,SO2,99th Percentile,3.0,8.2
St. Charles Parish,LA,NO2,98th Percentile,1.0,37.2
St. Charles Parish,LA,NO2,Annual Mean,1.0,5.2
St. Charles Parish,LA,O3,4th Max,3.0,0.06239999999999999
St. Charles Parish,LA,PM2.5,98th Percentile,2.0,16.8
St. Charles Parish,LA,PM2.5,Weighted Annual Mean,2.0,7.6800000000000015
St. Clair County,AL,CO,2nd Max,1.0,1.0
St. Clair County,AL,O3,4th Max,7.0,0.0646
St. Clair County,AL,PM10,2nd Max,4.0,58.42
St. Clair County,AL,PM2.5,98th Percentile,3.0,18.4
St. Clair County,AL,PM2.5,Weighted Annual Mean,3.0,8.94
St. Clair County,AL,SO2,99th Percentile,1.0,6.8
St. Clair County,IL,NO2,98th Percentile,1.0,38.8
St. Clair County,IL,NO2,Annual Mean,1.0,8.8
St. Clair County,IL,O3,4th Max,9.0,0.069
St. Clair County,IL,PM2.5,98th Percentile,2.0,21.0
St. Clair County,IL,PM2.5,Weighted Annual Mean,2.0,8.4
St. Clair County,IL,Pb,Max 3-Month Average,2.0,0.06
St. Clair County,IL,SO2,99th Percentile,3.0,8.2
St. Clair County,MI,CO,2nd Max,1.0,1.3
St. Clair County,MI,O3,4th Max,6.0,0.06960000000000001
St. Clair County,MI,PM10,2nd Max,3.0,64.58
St. Clair County,MI,PM2.5,98th Percentile,7.0,24.0
St. Clair County,MI,PM2.5,Weighted Annual Mean,7.0,8.74
St. Clair County,MI,Pb,Max 3-Month Average,1.0,0.012
St. Clair County,MI,SO2,99th Percentile,1.0,43.8
St. Croix County,WI,CO,2nd Max,3.0,1.0399999999999998
St. Croix County,WI,NO2,98th Percentile,1.0,23.6
St. Croix County,WI,NO2,Annual Mean,2.0,5.8
St. Croix County,WI,O3,4th Max,3.0,0.06239999999999999
St. Croix County,WI,PM10,2nd Max,1.0,76.8
St. Croix County,WI,PM2.5,98th Percentile,6.0,24.8
St. Croix County,WI,PM2.5,Weighted Annual Mean,6.0,7.88
St. Croix County,WI,SO2,99th Percentile,4.0,6.8
St. Helena Parish,LA,CO,2nd Max,1.0,0.86
St. Helena Parish,LA,NO2,98th Percentile,5.0,24.2
St. Helena Parish,LA,NO2,Annual Mean,5.0,4.2
St. Helena Parish,LA,O3,4th Max,9.0,0.0664
St. Helena Parish,LA,PM2.5,98th Percentile,3.0,19.0
St. Helena Parish,LA,PM2.5,Weighted Annual Mean,3.0,8.58
St. Helena Parish,LA,SO2,99th Percentile,2.0,16.4
St. James Parish,LA,NO2,98th Percentile,1.0,37.2
St. James Parish,LA,NO2,Annual Mean,1.0,5.2
St. James Parish,LA,O3,4th Max,3.0,0.06239999999999999
St. James Parish,LA,PM2.5,98th Percentile,2.0,16.8
St. James Parish,LA,PM2.5,Weighted Annual Mean,2.0,7.6800000000000015
St. John the Baptist Parish,LA,NO2,98th Percentile,1.0,37.2
St. John the Baptist Parish,LA,NO2,Annual Mean,1.0,5.2
St. John the Baptist Parish,LA,O3,4th Max,3.0,0.06239999999999999
St. John the Baptist Parish,LA,PM2.5,98th Percentile,2.0,16.8
St. John the Baptist Parish,LA,PM2.5,Weighted Annual Mean,2.0,7.6800000000000015
St. Johns County,FL,NO2,Annual Mean,1.0,6.2
St. Johns County,FL,O3,4th Max,2.0,0.06
St. Johns County,FL,PM2.5,98th Percentile,2.0,14.6
St. Johns County,FL,PM2.5,Weighted Annual Mean,2.0,6.960000000000001
St. Johns County,FL,SO2,99th Percentile,2.0,29.0
St. Joseph County,IN,O3,4th Max,3.0,0.0674
St. Louis County,MN,O3,4th Max,1.0,0.057999999999999996
St. Louis County,MN,PM10,2nd Max,2.0,57.3
St. Louis County,MN,PM2.5,98th Percentile,2.0,19.0
St. Louis County,MN,PM2.5,Weighted Annual Mean,2.0,5.28
St. Louis County,MO,NO2,98th Percentile,1.0,38.8
St. Louis County,MO,NO2,Annual Mean,1.0,8.8
St. Louis County,MO,O3,4th Max,9.0,0.069
St. Louis County,MO,PM2.5,98th Percentile,2.0,21.0
St. Louis County,MO,PM2.5,Weighted Annual Mean,2.0,8.4
St. Louis County,MO,Pb,Max 3-Month Average,2.0,0.06
St. Louis County,MO,SO2,99th Percentile,3.0,8.2
St. Louis city,MO,NO2,98th Percentile,1.0,38.8
St. Louis city,MO,NO2,Annual Mean,1.0,8.8
St. Louis city,MO,O3,4th Max,9.0,0.069
St. Louis city,MO,PM2.5,98th Percentile,2.0,21.0
St. Louis city,MO,PM2.5,Weighted Annual Mean,2.0,8.4
St. Louis city,MO,Pb,Max 3-Month Average,2.0,0.06
St. Louis city,MO,SO2,99th Percentile,3.0,8.2
Stafford County,VA,CO,2nd Max,1.0,1.16
Stafford County,VA,NO2,98th Percentile,4.0,35.0
Stafford County,VA,NO2,Annual Mean,5.0,8.0
Stafford County,VA,O3,4th Max,13.0,0.0638
Stafford County,VA,PM2.5,98th Percentile,5.0,19.2
Stafford County,VA,PM2.5,Weighted Annual Mean,5.0,7.24
Stanislaus County,CA,NO2,98th Percentile,1.0,39.2
Stanislaus County,CA,NO2,Annual Mean,1.0,8.4
Stanislaus County,CA,O3,4th Max,2.0,0.0776
Stanislaus County,CA,PM10,2nd Max,1.0,95.8
Stanislaus County,CA,PM2.5,98th Percentile,1.0,44.4
Stanislaus County,CA,PM2.5,Weighted Annual Mean,1.0,12.22
Stark County,IL,O3,4th Max,2.0,0.067
Stark County,ND,O3,4th Max,1.0,0.0606
Stark County,ND,PM2.5,98th Percentile,1.0,19.2
Stark County,ND,PM2.5,Weighted Annual Mean,1.0,5.06
Stark County,ND,SO2,99th Percentile,1.0,5.2
Stark County,OH,O3,4th Max,3.0,0.0648
Stark County,OH,PM2.5,98th Percentile,1.0,21.2
Stark County,OH,PM2.5,Weighted Annual Mean,1.0,9.14
Stearns County,MN,PM2.5,98th Percentile,1.0,22.4
Stearns County,MN,PM2.5,Weighted Annual Mean,1.0,7.18
Steuben County,NY,PM2.5,98th Percentile,1.0,17.4
Steuben County,NY,PM2.5,Weighted Annual Mean,1.0,5.760000000000001
Stevens County,WA,O3,4th Max,2.0,0.06
Stewart County,GA,O3,4th Max,1.0,0.0596
Stewart County,TN,O3,4th Max,2.0,0.060399999999999995
Stewart County,TN,PM2.5,98th Percentile,1.0,21.8
Stewart County,TN,PM2.5,Weighted Annual Mean,1.0,8.379999999999999
Stillwater County,MT,SO2,99th Percentile,1.0,20.6
Stokes County,NC,NO2,98th Percentile,1.0,34.2
Stokes County,NC,NO2,Annual Mean,1.0,6.2
Stokes County,NC,O3,4th Max,2.0,0.063
Stokes County,NC,PM10,2nd Max,1.0,46.8
Stokes County,NC,PM2.5,98th Percentile,2.0,20.0
Stokes County,NC,PM2.5,Weighted Annual Mean,2.0,8.28
